timestamp,rssi1,rssi2,rssi3,rssi4,linear-x,linear-y,linear-z,rotation-x,rotation-y,rotation-z,rotation-w,,
1.59057E+12,-62,-89,-84,-76,-0.0195,0.0881,0.3056,0.032531,-0.064357,-0.883824,0.462227,,
1.59057E+12,-62,-89,-84,-76,-0.0195,0.0881,0.3056,0.032531,-0.064357,-0.883824,0.462227,,
1.59057E+12,-62,-89,-84,-76,-0.020399999,0.095599994,0.5581,0.03205,-0.063603,-0.884085,0.461865,,
1.59057E+12,-62,-89,-84,-76,-0.0872,0.060599998,0.3726,0.032745,-0.063565,-0.883819,0.462332,,
1.59057E+12,-62,-89,-84,-76,-0.0872,0.060599998,0.3726,0.032745,-0.063565,-0.883819,0.462332,,
1.59057E+12,-62,-89,-84,-76,-0.0061,-0.0524,0.0526,0.033918,-0.064389996,-0.883592,0.462567,,
1.59057E+12,-62,-89,-84,-76,0.0168,-0.1343,-0.39499998,0.035108,-0.065105,-0.883204,0.463118,,
1.59057E+12,-62,-89,-84,-76,0.0168,-0.1343,-0.39499998,0.035108,-0.065105,-0.883204,0.463118,,
1.59057E+12,-62,-89,-84,-76,-0.124699995,0.0905,-0.4802,0.035882,-0.065869,-0.882845,0.46363398,,
1.59057E+12,-62,-89,-84,-76,-0.17279999,0.123399995,-0.29979998,0.036622,-0.066984,-0.882191,0.464661,,
1.59057E+12,-62,-89,-84,-76,-0.17279999,0.123399995,-0.29979998,0.036622,-0.066984,-0.882191,0.464661,,
1.59057E+12,-62,-89,-84,-76,0.004,0.0958,-0.3574,0.035993,-0.067779,-0.881834,0.465271,,
1.59057E+12,-62,-89,-84,-76,0.004,0.0958,-0.3574,0.035993,-0.067779,-0.881834,0.465271,,
1.59057E+12,-62,-89,-84,-76,0.0359,0.0927,-0.5613,0.035598,-0.068742,-0.881329,0.466117,,
1.59057E+12,-62,-89,-84,-76,-0.0274,-0.0112,-0.2496,0.035049,-0.068235,-0.881489,0.465931,,
1.59057E+12,-62,-89,-84,-76,-0.0274,-0.0112,-0.2496,0.035049,-0.068235,-0.881489,0.465931,,
1.59057E+12,-62,-89,-84,-76,-0.0223,-0.0801,0.4014,0.033911,-0.066569,-0.881552,0.466137,,
1.59057E+12,-62,-89,-84,-76,-0.0223,-0.0801,0.4014,0.033911,-0.066569,-0.881552,0.466137,,
1.59057E+12,-62,-89,-84,-76,0.109799996,-0.0273,0.5185,0.033966,-0.066322,-0.882038,0.465247,,
1.59057E+12,-62,-89,-84,-76,0.109799996,-0.0273,0.5185,0.033966,-0.066322,-0.882038,0.465247,,
1.59057E+12,-62,-89,-84,-76,-0.022599999,-0.0088,0.0985,0.034006,-0.066933,-0.881966,0.465293,,
1.59057E+12,-62,-89,-84,-76,-0.0317,-0.033,-0.3375,0.034336,-0.068733,-0.882338,0.464301,,
1.59057E+12,-62,-89,-84,-76,-0.0317,-0.033,-0.3375,0.034336,-0.068733,-0.882338,0.464301,,
1.59057E+12,-62,-89,-84,-76,-0.0817,-0.0726,-0.5011,0.034338,-0.069893,-0.882199,0.464392,,
1.59057E+12,-62,-89,-84,-76,-0.0486,-0.0758,-0.1769,0.034098,-0.070205,-0.88246,0.463866,,
1.59057E+12,-62,-89,-84,-76,-0.0486,-0.0758,-0.1769,0.034098,-0.070205,-0.88246,0.463866,,
1.59057E+12,-62,-89,-84,-76,0.0524,-0.029299999,0.0263,0.033402,-0.069578,-0.88238,0.464163,,
1.59057E+12,-62,-89,-84,-76,0.0524,-0.029299999,0.0263,0.033402,-0.069578,-0.88238,0.464163,,
1.59057E+12,-62,-89,-84,-76,0.0831,-0.0733,-0.083799995,0.033144,-0.068855,-0.882163,0.464702,,
1.59057E+12,-62,-89,-84,-76,-0.0315,-0.0893,-0.1643,0.032958,-0.068176,-0.882208,0.46473,,
1.59057E+12,-62,-89,-84,-76,-0.0315,-0.0893,-0.1643,0.032958,-0.068176,-0.882208,0.46473,,
1.59057E+12,-62,-89,-84,-76,-0.058,-0.099,-0.0089,0.03243,-0.067881,-0.88211,0.464995,,
1.59057E+12,-62,-89,-84,-76,0.039699998,-0.045199998,0.0576,0.031638,-0.067453,-0.882083,0.465163,,
1.59057E+12,-62,-89,-84,-76,0.039699998,-0.045199998,0.0576,0.031638,-0.067453,-0.882083,0.465163,,
1.59057E+12,-62,-89,-84,-76,0.0709,0.0048,0.0167,0.031475,-0.066906,-0.881988,0.465435,,
1.59057E+12,-62,-89,-84,-76,0.013599999,-0.0158,-0.063,0.031345,-0.066473,-0.881969,0.465541,,
1.59057E+12,-62,-89,-84,-76,-0.0679,-0.0173,0.0044,0.031,-0.066168,-0.881996,0.465556,,
1.59057E+12,-62,-89,-84,-76,-0.0679,-0.0173,0.0044,0.031,-0.066168,-0.881996,0.465556,,
1.59057E+12,-62,-89,-84,-76,-0.0713,-0.0336,0.0907,0.030549,-0.065647,-0.88195,0.465746,,
1.59057E+12,-62,-89,-84,-76,-0.0713,-0.0336,0.0907,0.030549,-0.065647,-0.88195,0.465746,,
1.59057E+12,-62,-89,-84,-76,-0.0088,0.0413,0.23699999,0.030125,-0.065503,-0.881936,0.465821,,
1.59057E+12,-62,-89,-84,-76,0.0422,0.0055,0.2267,0.029702,-0.065528,-0.88187,0.46597,,
1.59057E+12,-62,-89,-84,-76,0.0032,-9.00E-04,0.090399995,0.029857,-0.065821,-0.881926,0.465813,,
1.59057E+12,-62,-89,-84,-76,0.0032,-9.00E-04,0.090399995,0.029857,-0.065821,-0.881926,0.465813,,
1.59057E+12,-62,-89,-84,-76,-0.0069,-0.014099999,0.012399999,0.029931,-0.06598,-0.881828,0.465971,,
1.59057E+12,-62,-89,-84,-76,-0.023899999,-0.0118,0.0233,0.0302,-0.066271,-0.882033,0.465524,,
1.59057E+12,-62,-89,-84,-76,-0.020299999,-0.0024,-0.006,0.030371,-0.066204,-0.88201,0.465566,,
1.59057E+12,-62,-89,-84,-76,0.010199999,-0.0809,0.1116,0.030419,-0.066183,-0.882067,0.465458,,
1.59057E+12,-62,-89,-84,-76,0.010199999,-0.0809,0.1116,0.030419,-0.066183,-0.882067,0.465458,,
1.59057E+12,-62,-89,-84,-76,0.0079,-0.065299995,0.1696,0.030174,-0.065975,-0.882096,0.465448,,
1.59057E+12,-62,-89,-84,-76,0.0779,0.0089,0.091699995,0.030366,-0.066115,-0.881877,0.46583,,
1.59057E+12,-62,-89,-84,-76,0.0315,-0.0221,-0.1811,0.030762,-0.066577,-0.881835,0.465819,,
1.59057E+12,-62,-89,-84,-76,-0.085,-0.0733,-0.3558,0.031085,-0.067097,-0.881867,0.465662,,
1.59057E+12,-62,-89,-84,-76,-0.085,-0.0733,-0.3558,0.031085,-0.067097,-0.881867,0.465662,,
1.59057E+12,-62,-89,-84,-76,-0.074999996,-0.046299998,-0.228,0.031152999,-0.067206,-0.881868,0.465639,,
