L,-79,-74,-87,-64,-74,-70
L,-80,-74,-87,-64,-74,-70
L,-79,-74,-87,-64,-74,-70
L,-79,-74,-78,-64,-79,-73
L,-80,-74,-78,-64,-81,-75
L,-79,-76,-84,-64,-81,-80
L,-80,-78,-84,-64,-82,-84
L,-79,-79,-83,-65,-82,-69
L,-79,-76,-83,-64,-82,-70
L,-79,-74,-83,-64,-82,-70
L,-79,-74,-82,-65,-81,-69
L,-79,-74,-83,-64,-82,-70
